dates,weekday,age,BMI,sex,favorite_food,allergies,ethnicity,haircolor,eye_color,BFI_O,BFI_C,BFI_E,BFI_A,BFI_N,scratch,itch,coinflip,blood_type,first_name,identifier,normal,werewolf,wererabbit
1970-05-26,Tues,46,36.34608884884068,female,Asparagus,NA,white,brown,blue,4.00216491700269,4.894839385773166,2.4611447596662455,3.9687343220699103,4.252901060132126,7,1,heads,A+,Annice,699,0.33999999999999997,0.5800000000000001,0.07999999999999996
1969-04-28,Mon,47,33.822911212684744,female,Tuna,NA,white,light brown,blue,4.557553676291749,4.073046472146887,2.9569694711305483,2.979698194772082,3.002189705726356,6,6,heads,A+,Alonna,293,0.6,0.1100000000000001,0.2899999999999999
1970-10-24,Sat,45,37.23903881065851,female,Cashwew nuts,NA,black,black,brown,3.9397124365811864,4.519365371694795,2.2665484675684935,3.8511225737981607,3.2464228313143355,1,6,tails,A+,Larea,49,0.24000000000000002,0.32999999999999996,0.43000000000000005
1993-01-04,Mon,23,47.26321799082436,male,Ice Cream,NA,hispanic,black,brown,3.506840735525211,3.469618828984977,3.7321120384009685,3.8227048519654643,3.60052353787387,5,5,heads,B+,An,439,0.56,0.17000000000000004,0.2699999999999999
1994-08-06,Sat,21,30.141622710082345,male,Soup,NA,white,blond,blue,3.2214491325469883,3.7215180616390855,2.495752522379359,3.3800003926585767,3.017873617603968,3,6,tails,O+,Juvenal,872,0.51,0.47,0.020000000000000018
1984-01-31,Tues,32,30.496612667105047,male,Chicken,NA,white,brown,brown,4.576115662585242,3.986588354091632,3.42562009632001,3.938373191853678,2.5739142707406635,2,4,heads,O+,Jessee,988,0.7899999999999999,0.13999999999999999,0.07000000000000006
1981-10-01,Thurs,34,30.403174508972192,male,Sushi,NA,white,brown,brown,4.439749043379912,4.954608086770789,4.497770895421107,3.464057677489695,3.6580704439225755,5,2,heads,AB+,Thompson,851,0.44,0.13,0.43
1961-10-18,Wed,54,16.726185572678855,male,Chicken,NA,white,brown,blue,3.0858811268810515,2.954904187281454,3.2811957750619873,3.499246801496491,3.170795169221062,3,3,heads,B+,Jonpaul,245,0.88,0.1100000000000001,0.009999999999999898
1977-06-27,Mon,39,27.388361342528675,female,Blueberries,NA,hispanic,black,brown,4.32356645010068,3.6522560710213208,2.282851440986532,4.257111072163288,2.711532323778588,1,1,heads,O+,Young,482,0.59,0.30000000000000004,0.10999999999999999
1991-08-09,Fri,24,30.567281054525154,male,Apples,NA,black,black,black,3.542329195379157,2.848359317244288,2.8314848860742305,4.203728007279618,3.827215081329271,2,2,tails,A+,Brendon,603,0.47,0.32999999999999996,0.20000000000000007
1966-06-17,Fri,50,14.950606584622552,female,Pancakes,NA,hispanic,black,brown,4.756994226922297,3.4575040821471976,3.417251256955432,4.245592261136169,3.035743353954741,5,7,heads,A+,Samia,675,0.31,0.5,0.19
1995-09-01,Fri,20,33.97169761563291,female,Asparagus,NA,white,blond,green,3.4691370619529938,4.163078303458372,4.3164324519080175,3.7198699524883283,4.531137116412578,5,1,heads,A+,Lecresha,894,0.33,0.43,0.24000000000000005
1966-11-27,Sun,49,30.072505395198885,female,Tuna,NA,white,blond,green,3.37248604627497,4.380645268491718,3.9414020988617695,4.4516261520434846,3.259663248545474,1,5,tails,B+,Reesha,591,0.010000000000000092,0.6900000000000001,0.2999999999999998
1973-08-29,Wed,42,39.93646308396715,female,Sushi,NA,white,brown,blue,4.326684302356242,4.029096504888884,2.7703532554749133,4.382859256967571,3.8068002705966095,4,5,heads,A+,Bryce,220,0.44999999999999996,0.1200000000000001,0.42999999999999994
1967-07-13,Thurs,49,12.145878504242491,female,Cheddar cheese,NA,white,light brown,brown,3.1447052936551954,3.473673482843113,2.524146322682438,3.988443434063651,2.1406789397853085,2,2,tails,A+,Latishia,122,0.37,0.48,0.15000000000000002
1962-12-01,Sat,53,22.270498901246363,female,Sweet potato,NA,black,black,brown,5.620976910665357,4.301677374104555,3.0263360262778907,5.006986968814411,3.701752167974451,1,3,heads,O+,Marlen,498,0.31,0.15000000000000002,0.54
1988-09-29,Thurs,27,33.13056672697406,male,Eggs,NA,hispanic,black,black,3.065355048906303,4.285418875148598,1.8274251949343023,3.521064622016781,2.425063053022069,6,3,heads,B+,Dale,12,0.76,0.19000000000000006,0.04999999999999993
1976-03-13,Sat,40,12.86357667093187,male,Avocado,NA,white,brown,blue,2.6824938978305415,4.285329779835166,4.350413293839326,4.146407060475827,3.2089009251338125,2,5,heads,A+,Steven,334,0.4,0.43,0.17000000000000004
1970-03-15,Sun,46,34.30687407748738,female,Pancakes,NA,black,black,brown,2.3313556625465397,3.6419307125900486,4.084754426066068,3.385732610019697,2.2985178407977966,1,3,tails,A-,Raigan,123,0.20000000000000004,0.47,0.32999999999999996
1972-06-28,Wed,44,15.40046906625253,female,Popcorn,NA,white,brown,brown,4.151702242737792,3.4258352391291456,3.729963311216136,4.432806576898978,2.5763756699608953,1,2,tails,A+,Neil,419,0.4,0.3,0.29999999999999993
1960-02-04,Thurs,56,28.062395567492217,female,Blueberries,NA,black,black,brown,3.441496989696484,2.215843546257548,4.521438500176066,4.124614866773546,3.4153978804416654,5,5,heads,A+,Angelynn,617,0.5,0.22999999999999998,0.27
1978-08-30,Wed,37,21.651947690150948,male,Sweetcorn,NA,white,brown,blue,3.5890419828048565,3.1158931295282466,4.012963524130923,3.584201065229904,2.9511110023317197,1,7,tails,O+,Lonzo,987,0.24000000000000002,0.38,0.38
1980-12-03,Wed,35,32.01954768384221,female,Tuna,NA,white,light brown,blue,3.185851205116837,4.75837711548366,2.183306093060028,3.7354152944292047,4.6688766855397095,6,3,heads,A+,Melani,391,0.78,0.19000000000000006,0.029999999999999916
1964-03-24,Tues,52,12.014223057283463,male,Meatballs,NA,hispanic,black,brown,5.269387389086121,2.2869697307715455,2.853395285608053,3.7293144870385597,3.1454816743723812,6,4,tails,O+,Karl,551,0.5700000000000001,0.33999999999999997,0.08999999999999997
1990-11-03,Sat,25,32.14103324424153,female,Bacon,NA,white,brown,hazel,3.7985595471577414,3.8218117276147265,3.5971929961834435,4.650602853942888,3.333469427934642,2,4,heads,O+,Abeer,522,0.48,0.15000000000000002,0.37
1983-12-16,Fri,32,22.900738944945665,male,Eggs,NA,black,black,brown,4.118104585953613,2.5757950156931395,3.9004412546382943,3.866960158739906,2.481795366844471,6,7,tails,A+,Harrison,287,0.18000000000000002,0.38,0.43999999999999995
1966-05-11,Wed,50,23.617041190404766,female,Pasta,NA,white,brown,brown,4.233587424353024,2.705349075067857,2.4721990090534525,4.013486577318575,2.4258900064240283,6,1,tails,O+,Ben,798,0.18000000000000002,0.66,0.15999999999999995
1964-04-11,Sat,52,19.302592573338746,female,Pasta,NA,hispanic,black,hazel,3.0707283522694078,4.563526249059071,1.9037602006805963,3.8006716771543134,2.9733838151853114,7,3,heads,O+,Marionette,626,0.53,0.27,0.19999999999999996
1984-07-05,Thurs,32,31.119598219561716,male,Almonds,NA,white,brown,blue,4.967703421123324,3.598723333402316,3.6952081108905133,3.591160947066361,2.5852963153355555,1,7,tails,O+,Antwion,82,0.09999999999999999,0.4,0.5
1988-03-16,Wed,28,39.68258192347581,female,Rice pudding,NA,white,red,brown,3.9571644178358785,2.4437537415474893,2.558982761845883,4.315031293144689,3.2128466788988703,7,1,tails,O+,Dominica,351,0.010000000000000092,0.816448592325178,0.17355140767482194
1965-04-24,Sat,51,20.195432788853598,male,Tuna,NA,black,brown,brown,3.803335984398123,3.1085706366951564,2.448448197460123,3.3769701703639,1.811184042214822,3,6,heads,O+,Ralph,194,0.19,0.53,0.27999999999999997
1960-06-30,Thurs,56,28.82019978732156,female,Beef,NA,white,blond,brown,2.9291978580720355,3.6351246003962183,3.5011612884783165,4.5018028290347285,1.728545823495187,2,2,heads,O+,Synetta,264,0.3,0.44999999999999996,0.25000000000000006
1976-10-15,Fri,39,36.93664429517629,male,Rice pudding,NA,white,blond,brown,2.5821732361576606,3.5207649116923876,3.6218013428722697,4.206588136848625,1.4569027670892627,1,1,tails,A+,Leeroy,392,0.13999999999999999,0.6,0.26
1978-08-15,Tues,37,30.416992453745785,male,Pancakes,NA,hispanic,light brown,brown,4.608370400041905,4.047011850299655,3.049384896074271,3.4399534423670786,3.6520079236910137,2,5,heads,O-,Maison,248,0.6900000000000001,0.13,0.17999999999999994
1998-08-01,Sat,18,27.952069148541945,male,Mozzarella-cheese,NA,white,light brown,blue,1.841904011334881,3.9891946324817966,2.7872944790108414,4.814966438450726,3.34887204380097,7,1,heads,A+,Kai,307,0.35,0.17000000000000004,0.48
1990-07-13,Fri,26,15.057033278722233,male,Sweet potato,NA,white,brown,green,3.0361867368253947,4.661212904660742,2.665496762323552,4.05189326064003,2.498530379992097,7,4,tails,O+,Tee,942,0.52,0.32999999999999996,0.15000000000000002
1991-02-07,Thurs,25,31.713303562879407,male,Cashwew nuts,NA,white,brown,green,3.531756914487657,4.041396642750869,3.781711974358636,4.136358088783019,2.458856084657755,5,3,tails,B+,Jay,366,0.33999999999999997,0.04,0.62
1981-08-16,Sun,34,24.055023512548257,female,Corned Beef,NA,white,brown,brown,2.169375788118839,4.8052540768276355,2.2134166223335026,4.196617615179884,2.784321022851582,5,1,heads,B+,Lizanne,324,0.5700000000000001,0.16000000000000003,0.2699999999999999
1970-05-06,Wed,46,9.671902550465369,female,Prawns,NA,black,brown,brown,4.095440329592768,4.14523446704803,2.478951200602141,4.282434414917165,1.8162185613213584,3,6,tails,A+,Fradel,627,0.4,0.02,0.58
1995-02-07,Tues,21,26.210456019817936,male,Banana,NA,black,black,brown,4.555262014597528,3.6209412270801047,4.407230263359375,3.4168773716504326,3.2865825687388353,3,2,tails,A-,Tyrus,503,0.33999999999999997,0.51,0.15000000000000002
1988-09-02,Fri,27,16.35717491026835,female,Soup,NA,white,light brown,hazel,3.4023783934537453,4.574122068380831,4.2169504797668145,4.314557719239882,3.261235841558605,5,6,heads,A+,Rickey,930,0.36,0.29000000000000004,0.35
1981-04-02,Thurs,35,28.877873092661314,female,Strawberries,NA,white,brown,blue,2.0018362817526336,4.61206590917334,3.576346151319476,4.5610642085901505,3.234201411476436,5,1,tails,A-,Kathreen,757,0.44999999999999996,0.42,0.13000000000000012
1978-03-17,Fri,38,24.98437390313475,female,Waffles,NA,white,brown,blue,4.013257980115678,4.539124451707631,2.9993175822888904,4.507863560942984,3.1198646570042303,4,7,tails,A+,April,968,0.38,0.38,0.24
1972-09-20,Wed,43,41.87970324335119,male,Pizza,NA,white,light brown,brown,1.9139013033997656,3.608312504687452,3.515429383352977,4.688957960982132,3.5205832391141767,3,3,heads,O+,Marie,744,0.31,0.44999999999999996,0.24000000000000005
1977-10-26,Wed,38,29.169801327615893,male,Ham,NA,white,brown,hazel,3.667247571435816,2.7555528852368893,2.4573701451540995,3.1287485959559347,3.2830641981924202,4,5,tails,A+,Parke,423,0.38,0.48,0.14
1997-11-16,Sun,18,28.56316781589309,male,Mashed potatoes,NA,white,brown,brown,3.791909919651853,3.227227861508934,2.1622955733959555,4.652592191573746,3.4942249107074086,6,5,heads,A-,Sander,789,0.51,0.10000000000000009,0.3899999999999999
1982-07-14,Wed,34,31.143248123029235,male,Peanut Butter,NA,hispanic,black,brown,3.7693090325940863,3.2986023859584312,2.530958843478846,3.486855511992861,3.4120329690965248,2,7,heads,O+,Sherry,429,0.43,0.53,0.03999999999999998
1981-07-15,Wed,35,9.53087777239664,female,Sweet potato,NA,white,red,brown,3.605052760029864,3.874753801222779,3.375256395712248,4.422928176054251,4.871790503915067,5,4,heads,O+,Margurite,673,0.48,0.29000000000000004,0.22999999999999998
1988-05-01,Sun,28,31.793417579690352,female,Popcorn,NA,hispanic,brown,brown,2.6337049326730955,3.8058387031145986,1.8379592844333408,4.080765023458441,3.5875012828816395,7,6,tails,A-,Dama,708,0.35,0.51,0.14
1960-06-29,Wed,56,24.52358544777368,female,Halibut,NA,white,light brown,blue,4.642476661352071,3.769922489623301,3.959562627453532,4.054607763382342,4.642414595033321,5,1,heads,A-,Kisa,517,0.48,0.18000000000000005,0.33999999999999997
1962-01-11,Thurs,54,27.20227818609081,female,Pancakes,NA,white,blond,brown,3.1516283875826803,3.445428805640281,3.981075653718818,4.231895756153834,4.2263072037727065,7,7,tails,A+,Charmelle,372,0.11000000000000007,0.8600000000000001,0.029999999999999832
1975-07-25,Fri,41,31.917448368515554,female,Pineapple,NA,hispanic,black,green,3.760626641103764,5.015547940074398,2.4951180404374327,4.564514747854346,3.4024102452501506,6,6,tails,A+,Renay,924,0.42,0.36000000000000004,0.21999999999999992
1996-07-25,Thurs,20,28.143617407346735,female,Ice Cream,NA,white,black,blue,3.306583331346736,3.2589775305413657,3.0348778418133078,4.391791516287087,4.666375031623056,5,7,heads,O+,Lamesha,695,0.32999999999999996,0.1100000000000001,0.5599999999999999
1986-08-29,Fri,29,26.21916718749859,male,Popcorn,NA,white,light brown,brown,4.147238687526546,3.9915927184559865,2.1279983997277387,2.589994015723901,3.4449765958977174,5,7,heads,A+,Daren,593,0.39,0.6,0.010000000000000009
1983-09-08,Thurs,32,26.944738775530105,female,Asparagus,NA,white,brown,blue,4.1924112520849635,4.5093138587605885,1.9133913552745314,4.150282916762546,2.185895167487276,6,6,heads,O+,Alexious,715,0.85,0.13,0.020000000000000018
1969-08-23,Sat,46,26.604263857159182,female,Beef,NA,black,black,brown,3.798758680967026,4.0851014541602515,1.6172683580512446,3.2288954911034784,5.0573460019868755,1,3,heads,B+,Tequilla,428,0.37,0.4,0.22999999999999998
1998-12-15,Tues,17,27.303670339928512,male,Beef,NA,white,brown,brown,3.1399553914474,4.244341587715503,3.0083423675896435,3.4628172624127673,2.7282509244631643,7,6,tails,A+,Kevon,641,0.0200000000000001,0.4,0.5799999999999998
1978-07-17,Mon,38,42.169229316858235,female,Soup,NA,white,brown,green,3.7300730039477936,3.5911348686426883,2.600480208083339,2.595036307591549,3.666213359949499,1,4,tails,A+,Shelbie,104,0.07000000000000003,0.41,0.52
1974-02-14,Thurs,42,33.9047014609332,male,Waffles,fish,white,brown,blue,3.4415452723612696,4.450163117750783,2.602689044817399,4.097816288294052,2.407408084111244,6,2,tails,A+,Cristina,830,0.15,0.73,0.12000000000000002
1969-05-19,Mon,47,24.214500897816563,male,Pasta,NA,hispanic,brown,green,4.028203402404647,3.0851168880048947,5.454856497292431,3.782062429660892,3.7048736172651924,5,4,heads,AB+,Walter,219,0.73,0.26,0.010000000000000009
1986-06-16,Mon,30,18.194561468593037,female,Ice Cream,NA,black,black,brown,3.8761858360400145,3.9653012759485207,2.3946202473901104,3.997603748104942,3.948723517742975,2,5,heads,A-,Jennett,976,0.56,0.22000000000000008,0.21999999999999986
1990-09-12,Wed,25,14.646278027415262,male,Beef,NA,white,brown,brown,4.283978606909113,3.510000681370648,3.5024937099410396,3.535998503729086,2.91971358845745,5,7,tails,B+,Jodie,84,0.34,0.4,0.25999999999999995
1962-06-09,Sat,54,14.855001543927738,male,Tuna,NA,white,brown,brown,5.062376898938537,5.056122347695161,3.191751328923732,3.591453871976729,3.804594417061129,1,2,heads,A+,Omar,974,0.59,0.4,0.010000000000000009
1982-02-17,Wed,34,23.073391196156603,male,Bacon,NA,white,brown,blue,3.9143600865525783,3.1814534125442284,4.520006496175244,4.194721463044506,3.860884248110237,3,2,heads,A+,Keenon,931,0.33999999999999997,0.1100000000000001,0.5499999999999999
1971-04-04,Sun,45,29.343463213873637,male,Chicken,NA,white,brown,blue,3.728596466099061,3.2253589076941056,4.051309538607029,3.085781455699115,1.8406703624024594,4,5,heads,A+,Manfred,222,0.78,0.20000000000000007,0.019999999999999907
1968-09-27,Fri,47,29.43593343630892,female,Ham,NA,white,blond,brown,4.960986423678554,3.3660335616159744,4.412000029722518,4.347388125426329,3.676578210497924,6,7,heads,O+,Coleen,475,0.47,0.25,0.28
1995-05-16,Tues,21,19.086853558391947,male,Pancakes,NA,white,black,hazel,3.271726501256883,4.219150252960255,3.6568946471104673,3.425159924624852,2.81487807268892,6,5,heads,O-,Yakov,30,0.6573805231315728,0.17000000000000004,0.17261947686842716
1966-12-08,Thurs,49,31.652752578668903,female,Ham,NA,white,blond,hazel,3.2745835876295866,4.585393588973622,4.217992350700903,3.020019861690912,3.1495041366510135,7,6,heads,AB+,Veleda,402,0.41,0.42,0.1700000000000001
1972-05-01,Mon,44,26.092435363839705,female,Almonds,NA,black,black,black,4.422393697612912,4.355533980919267,2.5252803032827824,4.326002836444227,2.895029546469121,5,1,heads,O+,Jessicarose,214,0.33999999999999997,0.44,0.22000000000000008
1990-04-24,Tues,26,28.797692433584917,male,Cashwew nuts,NA,white,brown,blue,4.250923062047678,4.703450107302521,4.019002740336743,4.45518594153866,2.384306198582813,3,7,tails,B+,Nichloas,178,0.0200000000000001,0.72,0.2599999999999999
1962-10-18,Thurs,53,21.27471908043251,female,Pineapple,NA,white,brown,other,3.045062847512579,4.186187892605896,3.6020271167179625,4.45892810531533,3.8429347739799136,3,7,tails,A-,Suzi,495,0.18000000000000002,0.74,0.07999999999999999
1987-02-17,Tues,29,16.715406590597823,female,Noodles,NA,white,brown,brown,2.6286817233730164,2.9984482778790227,2.3144968924605585,4.168801864818265,2.3003989064463783,7,1,tails,O+,Mauri,665,0.35,0.44,0.21000000000000008
1962-02-25,Sun,54,17.647843413099068,male,Donuts,NA,white,blond,green,4.785944480495863,3.16021836685354,2.7076031602035906,3.837349756665897,3.884781699950023,6,5,heads,O+,Chay,577,0.72,0.25,0.030000000000000027
1985-12-14,Sat,30,14.161005960905861,female,Ice Cream,NA,hispanic,light brown,brown,4.306165376062854,3.237229226151628,4.311045276281706,4.0184615495379825,3.126402526787253,1,2,heads,A-,Gretta,283,0.6,0.28,0.12
1988-03-12,Sat,28,29.60216152512058,male,Sushi,NA,hispanic,brown,hazel,3.096655010312384,4.807155444207261,2.741890288132012,4.738771536319807,4.696734110050721,1,2,heads,O+,Keishawn,256,0.35,0.22999999999999998,0.42000000000000004
1998-10-05,Mon,17,25.274572549465006,female,Rice pudding,NA,white,brown,green,4.4459621961925615,4.30717593136057,2.2311407207253042,4.34541226046765,2.0205969681135065,7,4,heads,O-,Teddi,250,0.55,0.29000000000000004,0.15999999999999992
1961-06-27,Tues,55,9.08016927075954,female,Pizza,NA,white,light brown,hazel,4.703325821237871,2.929436227038381,4.495285975707194,4.019553622892685,4.407754351247533,1,6,tails,O+,Corinna,506,0.07000000000000003,0.8615176538195684,0.06848234618043161
1985-10-25,Fri,30,23.62864383607024,male,Cashwew nuts,NA,hispanic,black,brown,3.226362120770657,4.656416803339632,2.9196758860882985,3.3734999703124933,4.238791529536711,3,1,tails,O+,Avid,63,0.13999999999999999,0.54,0.31999999999999995
1990-06-06,Wed,26,28.91060685554383,female,Sweet potato,NA,white,brown,brown,2.7973826896367333,3.4964256124506927,2.255312938090822,4.013210580648137,3.4423002478065,2,3,heads,A+,Mahala,946,0.45999999999999996,0.43,0.1100000000000001
1993-11-29,Mon,22,19.949336009642515,female,Strawberries,NA,white,black,hazel,3.1012754849345088,3.3626862059967393,2.05563466813238,3.7145855490406676,2.1347290261159864,5,3,heads,O+,Ambree,659,0.74,0.14,0.12
1999-12-18,Sat,16,30.81919827460702,male,Apples,NA,hispanic,black,brown,4.734294742809817,4.232462119846974,2.8045974184748443,4.489751962219735,5.541865494848741,6,2,heads,B+,Chancelor,480,0.52,0.1200000000000001,0.3599999999999999
1996-07-01,Mon,20,21.044510513579468,male,Banana,NA,black,black,brown,3.2997364566171816,3.655657310653448,3.184149157597364,4.612779805096307,3.6337560854732,6,6,heads,O+,Geremy,320,0.55,0.13,0.31999999999999995
1986-04-01,Tues,30,28.683365236541334,female,Noodles,NA,white,brown,brown,3.5818888334960732,3.537955793371358,1.8796455352095969,4.406313840705161,2.084404340619665,7,5,tails,B-,Charita,273,0.5700000000000001,0.35,0.07999999999999996
1966-12-01,Thurs,49,25.1250584248791,male,Asparagus,NA,white,light brown,brown,4.859455964103662,3.056772136955014,3.9569147646997473,3.6398795942303814,2.09673601191872,3,7,heads,A+,Willem,198,0.45999999999999996,0.44999999999999996,0.09000000000000008
1969-07-13,Sun,47,21.350401865127417,male,Prawns,NA,hispanic,red,brown,4.0430572180789675,4.230848258810714,2.4426449222611475,3.49703675710886,3.7706050605849617,1,6,tails,O+,Jachob,416,0.12,0.59,0.29000000000000004
